source_site,count
Windsurf,103
Devin,99
Augment,47
Ona,33
Factory,26
Kilo,18
opencode,18
Roo Code,11
Factory Docs,9
Hugging Face,8
Anthropic Claude Code,6
OpenAI Codex,6
Amp,5
GitHub Copilot,5
Augment Code,4
Google Jules,4
Anthropic,3
Kilo Code,3
RooCode,3
AGENTS.md,2
Aider,2
Augment Docs,2
Cursor,2
Meta,2
OWASP,2
Semgrep,2
UiPath,2
Google AI Studio,1
Google Cloud,1
Google Gemini CLI,1
goose,1
Hacker News,1
JetBrains,1
Junie,1
Linux Foundation,1
OpenAI,1
Phoenix,1
VS Code,1
Warp,1
Zed,1
